strategy,crypto,fill_model,total_trades,filled_trades,fill_rate,winning_trades,losing_trades,win_rate,total_capital_deployed,total_net_pnl,total_fees,roi_pct,profit_factor,sharpe_ratio,max_drawdown,param_tier1_price,param_tier2_price,param_tier1_capital,param_tier2_capital,param_exit_strategy
stink_bid,BTC,optimistic,6908,3487,0.5048,696,2791,0.1996,93275.0,276374.16,1865.5,296.3,4.5128,0.7959,4070.48,0.01,0.001,50.0,3.0,sell_at_10x
stink_bid,BTC,realistic,6908,2818,0.4079,496,2322,0.176,67768.0,103987.18,1355.36,153.45,2.7322,0.9762,3534.7,0.01,0.001,50.0,3.0,sell_at_10x
stink_bid,ETH,optimistic,6904,3472,0.5029,678,2794,0.1953,93277.0,423370.16,1865.54,453.88,6.4671,0.7491,7958.87,0.01,0.001,50.0,3.0,sell_at_10x
stink_bid,ETH,realistic,6904,1746,0.2529,329,1417,0.1884,30712.0,118544.41,614.24,385.99,5.6181,0.6746,2189.47,0.01,0.001,50.0,3.0,sell_at_10x
stink_bid,SOL,optimistic,6708,3342,0.4982,694,2648,0.2077,89456.0,466975.58,1789.12,522.02,7.4253,0.8295,4825.0,0.01,0.001,50.0,3.0,sell_at_10x
stink_bid,SOL,realistic,6708,750,0.1118,184,566,0.2453,6104.0,29558.64,122.08,484.25,7.9964,0.8178,221.46,0.01,0.001,50.0,3.0,sell_at_10x
stink_bid,BTC,optimistic,6908,3487,0.5048,462,3025,0.1325,93275.0,274515.67,1865.5,294.31,4.2813,0.7235,4688.61,0.01,0.001,50.0,3.0,sell_at_15x
stink_bid,BTC,realistic,6908,2818,0.4079,323,2495,0.1146,67768.0,102604.05,1355.36,151.4,2.6372,0.9988,4306.37,0.01,0.001,50.0,3.0,sell_at_15x
stink_bid,ETH,optimistic,6904,3472,0.5029,455,3017,0.131,93277.0,416083.47,1865.54,446.07,6.0298,0.687,9391.6,0.01,0.001,50.0,3.0,sell_at_15x
stink_bid,ETH,realistic,6904,1746,0.2529,209,1537,0.1197,30712.0,121412.61,614.24,395.33,5.4423,0.5922,3524.51,0.01,0.001,50.0,3.0,sell_at_15x
stink_bid,SOL,optimistic,6708,3342,0.4982,459,2883,0.1373,89456.0,438154.59,1789.12,489.8,6.5559,0.7811,5864.01,0.01,0.001,50.0,3.0,sell_at_15x
stink_bid,SOL,realistic,6708,750,0.1118,110,640,0.1467,6104.0,29744.73,122.08,487.3,7.2767,0.7516,300.9,0.01,0.001,50.0,3.0,sell_at_15x
stink_bid,BTC,optimistic,6908,3487,0.5048,265,3222,0.076,93275.0,258310.47,1865.5,276.93,3.9353,0.6823,5433.51,0.01,0.001,50.0,3.0,sell_at_25x
stink_bid,BTC,realistic,6908,2818,0.4079,173,2645,0.0614,67768.0,76944.86,1355.36,113.54,2.1751,0.7114,5262.07,0.01,0.001,50.0,3.0,sell_at_25x
stink_bid,ETH,optimistic,6904,3472,0.5029,255,3217,0.0734,93277.0,401703.55,1865.54,430.66,5.5805,0.6742,14332.02,0.01,0.001,50.0,3.0,sell_at_25x
